,name,city,state,search_string,url,geocode,lat,lon
343,Play It Again Sports,Woodinville,WASHINGTON,"Play It Again Sports, Woodinville, WASHINGTON",https://www.playitagainsports.com/locations/woodinville-wa,"(47.7546806, -122.1626139)",47.7546806,-122.1626139
344,Play It Again Sports,Parkersburg,WEST VIRGINIA,"Play It Again Sports, Parkersburg, WEST VIRGINIA",https://www.playitagainsports.com/locations/parkersburg-wv,"(39.2933679, -81.5468729)",39.2933679,-81.5468729
345,Play It Again Sports,Wheeling,WEST VIRGINIA,"Play It Again Sports, Wheeling, WEST VIRGINIA",https://www.playitagainsports.com/locations/wheeling-wv,"(40.041899, -80.6621574)",40.041899,-80.6621574
346,Play It Again Sports,Appleton,WISCONSIN,"Play It Again Sports, Appleton, WISCONSIN",https://www.playitagainsports.com/locations/appleton-wi,"(44.28594640000001, -88.4143764)",44.28594640000001,-88.4143764
347,Play It Again Sports,Eau Claire,WISCONSIN,"Play It Again Sports, Eau Claire, WISCONSIN",https://www.playitagainsports.com/locations/eau-claire-wi,"(44.7848233, -91.4583957)",44.7848233,-91.4583957
348,Play It Again Sports,Green Bay,WISCONSIN,"Play It Again Sports, Green Bay, WISCONSIN",https://www.playitagainsports.com/locations/green-bay-wi,"(44.492701, -88.071546)",44.492701,-88.071546
349,Play It Again Sports,Greenfield,WISCONSIN,"Play It Again Sports, Greenfield, WISCONSIN",https://www.playitagainsports.com/locations/greenfield-wi,"(42.9534349, -88.0050636)",42.9534349,-88.0050636
350,Play It Again Sports,Kenosha,WISCONSIN,"Play It Again Sports, Kenosha, WISCONSIN",https://www.playitagainsports.com/locations/kenosha-wi,"(42.5661441, -87.85698029999999)",42.5661441,-87.85698029999999
351,Play It Again Sports,La Crosse,WISCONSIN,"Play It Again Sports, La Crosse, WISCONSIN",https://www.playitagainsports.com/locations/la-crosse-wi,"(43.87126, -91.19229899999999)",43.87126,-91.19229899999999
352,Play It Again Sports,Madison,WISCONSIN,"Play It Again Sports, Madison, WISCONSIN",https://www.playitagainsports.com/locations/madison-wi-west,"(43.0569995, -89.4949252)",43.0569995,-89.4949252
353,Play It Again Sports,Oshkosh,WISCONSIN,"Play It Again Sports, Oshkosh, WISCONSIN",https://www.playitagainsports.com/locations/oshkosh-wi,"(43.999649, -88.580477)",43.999649,-88.580477
354,Play It Again Sports,Superior,WISCONSIN,"Play It Again Sports, Superior, WISCONSIN",https://www.playitagainsports.com/locations/superior-wi,"(46.7194364, -92.08099659999999)",46.7194364,-92.08099659999999
355,Play It Again Sports,Wauwatosa,WISCONSIN,"Play It Again Sports, Wauwatosa, WISCONSIN",https://www.playitagainsports.com/locations/wauwatosa-wi,"(43.0892091, -88.0884289)",43.0892091,-88.0884289
356,Outdoor Adventures Revived,Cody,WYOMING,"Outdoor Adventures Revived, Cody, WYOMING",https://outdooradventuresrevived.weebly.com/,"(44.5259243, -109.0645252)",44.5259243,-109.0645252
357,Wind River Rewind,Lander,WYOMING,"Wind River Rewind, Lander, WYOMING",https://www.windriverrewind.com/,"(42.8345794, -108.7369842)",42.8345794,-108.7369842
358,Headwall Sports,Jackson Hole,WYOMING,"Headwall Sports, Jackson Hole, WYOMING",http://www.headwallsports.com/#the-basics,"(43.4692547, -110.7911723)",43.4692547,-110.7911723
359,NU2U Sports,Laramie,WYOMING,"NU2U Sports, Laramie, WYOMING",https://www.nu2usports.com/,"(41.309079, -105.595576)",41.309079,-105.595576
360,Wyoming Outdoor Gear Exchange,Riverton,WYOMING,"Wyoming Outdoor Gear Exchange, Riverton, WYOMING",https://wyomingoutdoorgearexchange.com/,"(43.0243718, -108.3875023)",43.0243718,-108.3875023
361,Big Horn Trading LLC,Sheridan,WYOMING,"Big Horn Trading LLC, Sheridan, WYOMING",https://bighorntradingllc.com/,"(44.77528059999999, -106.9418512)",44.77528059999999,-106.9418512
362,Play It Again Sports,Casper,WYOMING,"Play It Again Sports, Casper, WYOMING",https://www.playitagainsports.com/locations/casper-wy,"(42.8473117, -106.2626247)",42.8473117,-106.2626247
